JORNADA:300
MUELLES:3
ZONAS DE ALMACENAMIENTO:5
CAPACIDAD_PILA:10

[BUQUES]
B16;T=26;C=C1600,C1601,C1602,C1603,C1604
B8;T=29;C=C800,C801,C802,C803,C804,C805,C806,C807
B7;T=53;C=C700,C701,C702,C703,C704,C705,C706,C707,C708
B18;T=61;C=C1800,C1801,C1802,C1803,C1804,C1805,C1806,C1807
B5;T=65;C=C500,C501,C502,C503,C504,C505,C506,C507,C508,C509
B4;T=86;C=C400,C401,C402,C403,C404,C405,C406,C407,C408
B13;T=87;C=C1300,C1301,C1302,C1303,C1304,C1305,C1306
B17;T=88;C=C1700,C1701,C1702,C1703,C1704
B9;T=98;C=C900,C901,C902,C903,C904,C905,C906,C907
B11;T=102;C=C1100,C1101,C1102,C1103
B12;T=111;C=C1200,C1201,C1202,C1203,C1204,C1205,C1206,C1207,C1208,C1209
B15;T=122;C=C1500
B14;T=125;C=C1400,C1401,C1402,C1403
B19;T=139;C=C1900,C1901,C1902,C1903,C1904,C1905
B6;T=141;C=C600
B2;T=160;C=C200,C201,C202,C203,C204
B1;T=228;C=C100,C101,C102,C103
B10;T=241;C=C1000,C1001,C1002,C1003
B20;T=245;C=C2000,C2001,C2002,C2003,C2004,C2005,C2006,C2007,C2008,C2009
B3;T=270;C=C300,C301,C302,C303,C304,C305

[CAMIONES]
K29;T=75;C=C1807
K37;T=81;C=C507
K47;T=90;C=C407
K25;T=91;C=C1803
K33;T=92;C=C503
K20;T=92;C=C707
K2;T=94;C=C1602
K46;T=99;C=C406
K22;T=101;C=C1800
K48;T=102;C=C408
K39;T=105;C=C509
K42;T=115;C=C402
K38;T=130;C=C508
K13;T=132;C=C700
K35;T=136;C=C505
K14;T=137;C=C701
K1;T=141;C=C1601
K30;T=142;C=C500
K34;T=164;C=C504
K12;T=166;C=C807
K17;T=169;C=C704
K19;T=172;C=C706
K40;T=173;C=C400
K27;T=173;C=C1805
K41;T=175;C=C401
K6;T=180;C=C801
K0;T=188;C=C1600
K11;T=191;C=C806
K10;T=191;C=C805
K45;T=193;C=C405
K5;T=196;C=C800
K28;T=211;C=C1806
K23;T=216;C=C1801
K49;T=218;C=C1300
K43;T=219;C=C403
K26;T=219;C=C1804
K24;T=221;C=C1802
K21;T=223;C=C708
K4;T=224;C=C1604
K9;T=226;C=C804
K44;T=230;C=C404
K15;T=242;C=C702
K3;T=243;C=C1603
K7;T=246;C=C802
K16;T=250;C=C703
K18;T=252;C=C705
K32;T=261;C=C502
K8;T=276;C=C803
K36;T=286;C=C506
K31;T=294;C=C501
